inalcoholId,ExCountryId,alcoloholPerYear,alcoholPerDay,beer%,wine%,spirits%
1,164,36.6,79.1,72.2,23.9,3.8
2,154,34.4,74.3,24.6,16.1,0
3,105,33.7,72.8,30.8,37.2,31.9
4,1,33.5,72.4,0,0,0
5,117,32.4,70.1,60.2,10.4,13.9
6,147,29.9,64.6,56,18.5,17.8
7,3,29.1,63,57.3,24.4,18.3
8,165,28.5,61.7,57.6,8.6,33.8
9,73,28.4,61.4,0,0,0
10,96,28.2,61,57.4,3.2,10.5
11,79,27.9,60.4,18.4,43,38.5
12,214,27.3,59,22,3.7,74.3
13,178,27.2,58.8,62.8,1.3,12
14,98,26.4,57,0,0,0
15,24,26.2,56.6,48.1,23.5,4.4
16,167,26,56.3,11,0.1,3.1
17,126,26,56.2,0,0,0
18,93,25.9,56,50.1,0,49.8
19,160,25.8,55.7,12.2,0.4,1.6
20,138,25.6,55.4,14.8,0.2,2.7
21,123,25.5,55,7.9,0.4,0.6
22,95,25,54.1,33.9,15.4,49.2
23,87,24.6,53.2,19.9,2.6,75.9
24,114,24.5,52.9,42.9,39.8,17
25,92,24,51.9,11.6,2.2,86.2
26,29,23.7,51.2,39.3,0.1,0.1
27,111,22.8,49.2,16.2,56.6,25.2
28,175,22.8,49.3,91.5,0.8,7.7
29,31,22.6,48.8,43.5,1.4,0.1
30,39,22.3,48.3,24.6,30.6,44.8
31,28,22.2,47.9,18,2.7,5
32,13,22.1,47.9,19,6.2,45.2
33,152,22,47.5,0,0,0
34,112,21.9,47.2,43.6,1.9,54.5
35,198,21.8,47.2,68.9,22.4,6.3
36,30,21.7,47,88.1,0.6,11.2
37,84,21.7,46.9,21.9,5,0.2
38,8,21.3,46,10.6,7,82.3
39,215,21,45.5,56.3,13.1,30.6
40,213,20.8,45.1,31.7,16.1,52.2
41,169,20.5,44.2,10.1,7.7,81.9
42,161,20.3,43.9,28.3,2.7,68.9
43,212,20.1,43.5,19.8,80.2,0
44,129,20.1,43.5,54.2,17.4,27.3
45,137,20.1,43.5,39,12.8,38.6
46,131,19.9,43.1,27.3,0.4,72
47,194,19.8,42.8,35.4,13.2,50
48,25,19.3,41.7,61.8,3.4,34.3
49,27,19.2,41.5,38.8,17.2,42.9
50,88,19.2,41.5,30.5,6.5,62.9
51,47,19.1,41.3,53.3,21.3,25.4
52,15,19,41.1,37.6,10.5,50
53,99,18.9,41,43.6,7.3,37.1
54,136,18.8,40.7,55.6,28.1,16.4
55,180,18.7,40.4,40.9,7,48.3
56,97,18.7,40.5,9.4,1.8,88.2
57,141,18.5,39.9,32,42.5,25.4
58,142,18.3,39.5,4,1.1,0
59,50,18,39,11.1,0,88.9
60,166,17.8,38.6,26.8,35.1,38
61,133,17.8,38.4,26.1,61.5,7.7
62,195,17.7,38.2,36.6,3.6,57.2
63,145,17.7,38.3,41.4,50.6,8
64,177,17.7,38.3,36.4,2.7,0.4
65,116,17.6,38.1,22.4,9.8,67.7
66,94,17.2,37.2,42.8,11.1,40
67,76,17.2,37.2,76.3,9.2,13.4
68,193,17.1,37,47.8,6.5,43.4
69,65,17.1,37,35.5,32.2,32.3
70,132,17.1,37,56.1,7.8,36.1
71,33,17,36.7,55,45,0
72,70,16.9,36.5,69.8,1.2,28.9
73,81,16.9,36.5,52.6,28.4,18.9
74,74,16.7,36.1,18.8,58.8,20.7
75,144,16.6,35.8,33.7,20.9,41.9
76,181,16.5,35.6,13.7,31.3,13.7
77,128,16.5,35.7,76.9,3.5,19.4
78,59,16.5,35.6,2.3,0.3,97.3
79,18,16.3,35.1,69.1,1.9,26.7
80,187,16.1,34.9,58.1,8.5,32.8
81,182,16.1,34.7,48.4,0.2,50.8
82,78,16,34.6,47,28,18.8
83,51,16,34.5,52.2,4.4,41.9
84,148,16,34.6,22.2,1.9,7.1
85,63,15.9,34.4,32.7,7.4,50.3
86,121,15.9,34.5,39.7,0.8,59.5
87,54,15.9,34.5,31.5,45.5,21.8
88,17,15.9,34.3,44.4,38.3,14.2
89,159,15.8,34.2,37.9,0.7,60.9
90,196,15.7,33.9,94.1,5.9,0
91,172,15.7,34,35.2,43.7,21.1
92,46,15.6,33.8,29.7,28.4,41.9
93,170,15.6,33.7,35,35.7,22.5
94,60,15.5,33.5,83,17,0
95,157,15.5,33.4,11.6,1.1,87.2
96,103,15.5,33.4,8.8,0.8,11.3
97,110,15.3,33.1,77.1,2.1,20.4
98,16,15.2,32.8,22.8,2.2,49
99,38,15.2,32.9,71.3,1.1,27.2
100,4,15.1,32.7,34.1,42,23.9
101,101,15.1,32.7,35.3,46.6,17.4
102,40,15.1,32.7,84.4,4.7,10.3
103,44,15,32.4,44.5,39,13
104,10,14.9,32.2,53.5,31.6,14.9
105,151,14.9,32.2,13.2,0.3,84.9
106,174,14.9,32.1,69.2,0.3,29.2
107,113,14.8,32.1,10.8,43.1,44.1
108,72,14.8,31.9,48.8,20.6,21.5
109,2,14.6,31.7,34.3,26.5,37.6
110,7,14.6,31.5,39.9,40.2,9.6
111,150,14.6,31.5,54.2,18,27.8
112,69,14.6,31.5,7.5,0.1,92.4
113,120,14.3,30.9,37.4,33.4,28.9
114,56,14.3,31,62,4.4,33.1
115,6,14.2,30.7,33,18.3,45.4
116,163,14.2,30.8,57.9,3.3,37.1
117,156,14.2,30.6,32.1,48.1,18.5
118,100,14.1,30.6,35.4,44.6,20
119,77,14.1,30.4,8.5,2.1,0
120,89,14.1,30.4,39.8,1.8,21.4
121,86,14.1,30.4,18.2,5.5,40
122,48,13.9,30.1,37.4,44.7,17.1
123,32,13.8,29.9,45.1,25.6,25.6
124,168,13.8,29.9,42.3,5.4,51.5
125,36,13.7,29.6,36.1,33.1,30.8
126,171,13.7,29.6,47,18.1,34.9
127,61,13.5,29.1,46.6,1.2,52.1
128,23,13.4,29,75.8,8.6,12.4
129,9,13.4,28.9,39.9,37.5,12.9
130,5,13.4,29,70.3,17.6,11.3
131,45,13.2,28.5,37.3,4.9,57.4
132,43,13,28.1,64.1,7.2,27.9
133,37,12.9,27.9,29.6,3.1,67.2
134,68,12.8,27.6,56.5,27.9,15.5
135,107,12.8,27.8,36.4,29.9,28.7
136,57,12.8,27.6,47.8,1.3,50.7
137,173,12.8,27.7,34.4,8.6,56.9
138,67,12.6,27.3,54.6,0.3,8.3
139,155,12.5,27.1,36.4,47.8,14.1
140,75,12.4,26.7,71,2.4,25.7
141,153,12.1,26.2,44.9,3.5,48.8
142,201,12,25.9,0.6,84.7,14.1
143,162,12,26,37,16,18.2
144,119,12,26,47.8,35.8,16.4
145,82,12,25.9,25.4,64.8,9.8
146,85,11.9,25.8,36.3,4.8,54.2
147,130,11.8,25.6,60.1,8.1,31.8
148,19,11.6,25.1,63.7,9.6,13.1
149,109,11.5,25,53.9,15.4,30.8
150,115,11.4,24.6,78.7,8.3,12.4
151,200,10.7,23.1,60.7,11.5,27.9
152,22,10.5,22.6,72.8,4.3,21.3
153,199,10.4,22.6,93.3,2.9,3.3
154,83,10.2,22.1,28.3,6.6,8
155,12,10.1,21.9,39.2,16.6,41.2
156,184,9.6,20.7,2.7,0,97.3
157,52,9.5,20.5,67.6,32.4,0
158,53,9.5,20.6,79.9,1.5,17.8
159,125,9.4,20.4,43.9,36.7,16.7
160,176,9.4,20.3,89.5,0,10.5
161,102,9.2,20,53.8,8.2,38
162,190,9.1,19.7,39.8,2.8,57
163,55,9,19.4,56.1,2.1,41.7
164,34,8.8,19,25.9,0.7,0
165,192,8.6,18.5,95.2,2.7,2.1
166,202,7.4,15.9,38.5,25.4,36.1
167,118,7.4,16.1,31,49,20
168,80,7,15.1,54.4,4.7,39.5
169,35,6.9,14.9,70.2,1,5.3
170,62,6.3,13.5,62.1,0.1,0.2
171,58,5.8,12.5,91.1,8.9,0
172,106,5.7,12.4,15.8,1.2,0
173,135,4.4,9.4,25.9,10.2,63.4
174,108,3.8,8.1,0,0,0
175,139,3.8,8.1,0,0,0
176,183,3.7,7.9,100,0,0
177,11,3.7,8.1,61.5,36.9,0
178,140,3.5,7.6,56.4,34.1,8.5
179,71,3.4,7.4,18.5,76.4,4.6
180,104,3.1,6.7,60.7,21,17.4
181,143,2.9,6.3,70,14.6,13.4
182,49,2.7,5.8,27.5,16.7,55
183,122,2.5,5.4,45,13.7,41.4
184,21,1.9,4.2,46.2,4.2,49.6
185,146,1.5,3.3,0,0,0
186,26,1.3,2.8,100,0,0
187,91,1,2.1,0,0,0
188,14,0.9,2.1,0,0,0
