InSportsID,ExCountryID,sport
1,171,American Football
2,9,Australian Football
3,45,Baseball
4,51,Baseball
5,174,Baseball
6,7,Basketball
7,37,Basketball
8,74,Basketball
9,64,Basketball
10,80,Basketball
11,82,Basketball
12,94,Basketball
13,99,Basketball
14,131,Basketball
15,134,Basketball
16,148,Basketball
17,150,Basketball
18,158,Basketball
19,165,Basketball
20,65,Boxing
21,100,Boxing
22,121,Boxing
23,6,Cricket
24,24,Cricket
25,69,Cricket
26,126,Cricket
27,151,Cricket
28,63,Cue Sports
29,57,Cycling
30,41,Cycling
31,88,Football Soccer
32,89,Football Soccer
33,91,Football Soccer
34,2,Football Soccer
35,3,Football Soccer
36,10,Football Soccer
37,11,Football Soccer
38,14,Football Soccer
39,17,Football Soccer
40,25,Football Soccer
41,26,Football Soccer
42,27,Football Soccer
43,28,Football Soccer
44,36,Football Soccer
45,38,Football Soccer
46,84,Football Soccer
47,48,Football Soccer
48,56,Football Soccer
49,67,Football Soccer
50,81,Football Soccer
51,83,Football Soccer
52,207,Football Soccer
53,54,Football Soccer
54,71,Football Soccer
55,73,Football Soccer
56,75,Football Soccer
57,78,Football Soccer
58,98,Football Soccer
59,104,Football Soccer
60,109,Football Soccer
61,110,Football Soccer
62,114,Football Soccer
63,116,Football Soccer
64,117,Football Soccer
65,119,Football Soccer
66,123,Football Soccer
67,130,Football Soccer
68,132,Football Soccer
69,133,Football Soccer
70,135,Football Soccer
71,136,Football Soccer
72,137,Football Soccer
73,139,Football Soccer
74,143,Football Soccer
75,144,Football Soccer
76,147,Football Soccer
77,152,Football Soccer
78,155,Football Soccer
79,157,Football Soccer
80,160,Football Soccer
81,161,Football Soccer
82,167,Football Soccer
83,168,Football Soccer
84,169,Football Soccer
85,170,Football Soccer
86,173,Football Soccer
87,16,Ice Hockey
88,32,Ice Hockey
89,47,Ice Hockey
90,72,Ice Hockey
91,125,Ice Hockey
92,156,Ice Hockey
93,55,Martial Arts
94,145,Martial Arts
95,112,Motor Sports
96,120,Rugby
97,172,Skateboarding
98,8,Skating
99,101,Team Handball
100,12,Tennis
101,23,Tennis
102,44,Tennis
103,118,Tennis
104,129,Tennis
105,175,Tennis
106,43,Water Sports
107,61,Water Sports
108,205,Water Sports
109,128,Water Sports
110,198,Water Sports
111,86,Football Soccer
112,13,Wrestling
113,42,Wrestling
114,53,Wrestling
115,95,Wrestling
116,190,Wrestling
117,163,Wrestling
