InWorkID,ExCountryId,avgHours
1,110,41.26
2,43,41.6
3,148,39.2425
4,137,38
5,54,37.49
6,36,37.775
7,80,36.755
8,47,34.1875
9,132,34.985
10,171,34.29
11,78,33.6525
12,120,33.74
13,63,34.225
14,65,33.6125
15,82,33.085
16,133,33.155
17,32,32.795
18,150,32.6525
19,94,32.7475
20,144,33.2
21,86,32.8
22,9,32.1975
23,99,31.2025
24,145,31.565
25,156,30.3375
26,72,29.97
27,17,29.71
28,170,29.6
29,74,29.265
30,10,29.0125
31,100,29.04
32,155,28.3525
33,68,28.605
34,119,27.5575
35,125,27.325
36,48,27
37,81,26.2275
38,165,8.8075
